uuid,awareness,vote,effect,arguments_for,arguments_against
e978b1a0-d8bb-0133-0904-0a81e8b09a82,I understand it fully,I would vote for it,Look for a different job,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
22a983c0-d942-0133-c6d9-0a81e8b09a82,I have never heard of it,I would not vote,None of the above,None of the above,None of the above
709a7100-d8e4-0133-bb7e-0a81e8b09a82,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
071c3ab0-d8c5-0133-be80-0a81e8b09a82,I know something about it,I would vote for it,Spend more time with my family,It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
1f4ed870-d9fb-0133-0afa-0a81e8b09a82,I know something about it,I would probably vote for it,Gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
28693370-d97c-0133-0755-0a81e8b09a82,I understand it fully,I would vote for it,Work less,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
158c25a0-db8f-0133-dd63-0a81e8b09a82,I have never heard of it,I would vote for it,Work less,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It increases dependence on the state
26f49df0-d9b6-0133-9621-0a81e8b09a82,I know something about it,I would vote for it,Work less,It encourages financial independence and self-responsibility,It is impossible to finance
6b58b720-dbdd-0133-4993-0a81e8b09a82,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance
63790280-d8e3-0133-b875-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state
